,Suburb,Postcode,Local government area,Latitude,Longitude,1st Most Common Venue
72,Emerald,3782,Shire of Cardinia; Shire of Yarra Ranges,-37.93107,145.44888902516502,
73,Officer,3809,Shire of Cardinia,-38.049175,145.41180221332,
74,Pakenham,3810,Shire of Cardinia,-38.06823555,145.47878113336202,
75,Avonsleigh,3782,Shire of Cardinia,-37.91404,145.482076000566,
76,Bayles,3981,Shire of Cardinia,-38.176973600000004,145.573224,
77,Beaconsfield Upper,3808,Shire of Cardinia,-37.998734999999996,145.42521466494802,
78,Bunyip,3815,Shire of Cardinia,-38.0971242,145.7208993,
79,Bunyip North,3815,Shire of Cardinia,-38.0971242,145.7208993,
80,Caldermeade,3984,Shire of Cardinia,-38.239565,145.54077683333298,
81,Cardinia,3978,Shire of Cardinia,-38.13432,145.421166606992,
82,Catani,3981,Shire of Cardinia,-38.1948042,145.6413285,
83,Clematis,3782,Shire of Cardinia,-37.9340691,145.417641,
84,Cockatoo,3781,Shire of Cardinia,-37.9344942,145.49147659999997,
85,Cora Lynn,3814,Shire of Cardinia,-38.1436888,145.60427109999998,
86,Dalmore,3981,Shire of Cardinia,-38.1950098,145.4191387,
87,Dewhurst,3809,Shire of Cardinia,-37.97633,145.47403147614799,
88,Garfield,3814,Shire of Cardinia,-38.0898677,145.676222,
89,Garfield North,3814,Shire of Cardinia,-38.03934,145.685876546336,
90,Gembrook,3783,Shire of Cardinia,-37.9685261,145.495700419905,
91,Guys Hill,3807,Shire of Cardinia,-38.0142333,145.39060039999998,
92,Heath Hill,3981,Shire of Cardinia; Shire of Baw Baw,-38.24878,145.691397522341,
93,Iona,3815,Shire of Cardinia,-38.161365,145.686712776183,
94,Koo Wee Rup,3981,Shire of Cardinia,-38.2003356,145.4892906,
95,Koo Wee Rup North,3891,Shire of Cardinia,-38.1990553,145.492854,
96,Lang Lang,3984,Shire of Cardinia,-38.2660405,145.56277780000002,
97,Lang Lang East,3894,Shire of Cardinia,-38.2660405,145.56277780000002,
98,Longwarry,3816,Shire of Cardinia; Shire of Baw Baw,-38.111138700000005,145.77059530000002,
99,Maryknoll,3812,Shire of Cardinia,-38.03572,145.60193640646298,
100,Menzies Creek,3159,Shire of Cardinia; Shire of Yarra Ranges,-37.9190646,145.40682040000002,
101,Modella,3816,Shire of Cardinia; Shire of Baw Baw,-38.186439299999996,145.7150142,
102,Monomeith,3984,Shire of Cardinia,-38.2206497,145.5106763,
103,Mount Burnett,3781,Shire of Cardinia,-37.972074,145.52036189999998,
104,Nangana,3781,Shire of Cardinia,-37.8755206,145.53250740000001,Polish Restaurant
105,Nar Nar Goon,3812,Shire of Cardinia,-38.08395720000001,145.5752662,
106,Nar Nar Goon North,3812,Shire of Cardinia,-38.029435,145.56357211039,
