,Suburb,Postcode,Local government area,Location[citation needed],Distance[3][citation needed],Area[citation needed],Population[citation needed],Population density[citation needed],Date established[citation needed],Address,Latitude,Longitude
98,Longwarry,3816,Shire of Cardinia; Shire of Baw Baw,,,,,,,"Longwarry, VIC 3816, Australia",-38.1111387,145.7705953
99,Maryknoll,3812,Shire of Cardinia,,,,,,,"Maryknoll, VIC 3812, Australia",-38.03572,145.601936406463
100,Menzies Creek,3159,Shire of Cardinia; Shire of Yarra Ranges,,,,,,,"Menzies Creek, VIC 3159, Australia",-37.9190646,145.4068204
101,Modella,3816,Shire of Cardinia; Shire of Baw Baw,,,,,,,"Modella, VIC 3816, Australia",-38.1864393,145.7150142
102,Monomeith,3984,Shire of Cardinia,,,,,,,"Monomeith, VIC 3984, Australia",-38.2206497,145.5106763
103,Mount Burnett,3781,Shire of Cardinia,,,,,,,"Mount Burnett, VIC 3781, Australia",-37.972074,145.5203619
104,Nangana,3781,Shire of Cardinia,,,,,,,"Nangana, VIC 3781, Australia",-37.8755206,145.5325074
105,Nar Nar Goon,3812,Shire of Cardinia,,,,,,,"Nar Nar Goon, VIC 3812, Australia",-38.0839572,145.5752662
106,Nar Nar Goon North,3812,Shire of Cardinia,,,,,,,"Nar Nar Goon North, VIC 3812, Australia",-38.029435,145.56357211039
107,Nyora,3987,Shire of Cardinia; South Gippsland Shire; Shire of Baw Baw,,,,,,,"Nyora, VIC 3987, Australia",-38.3347289,145.6708903
108,Officer South,3809,Shire of Cardinia,,,,,,,"Officer South, VIC 3809, Australia",-38.049175,145.41180221332
109,Pakenham South,3810,Shire of Cardinia,,,,,,,"Pakenham South, VIC 3810, Australia",-38.137285,145.491226681719
110,Pakenham Upper,3810,Shire of Cardinia,,,,,,,"Pakenham Upper, VIC 3810, Australia",-38.00863,145.507523289938
111,Rythdale,3810,Shire of Cardinia,,,,,,,"Rythdale, VIC 3810, Australia",-38.1357145,145.4580948
112,Tonimbuk,3815,Shire of Cardinia,,,,,,,"Tonimbuk, VIC 3815, Australia",-38.03121,145.727912634901
113,Tooradin North,3977,Shire of Cardinia,,,,,,,"Tooradin North, VIC 3977, Australia",-38.2138303,145.3816827
114,Tynong,3813,Shire of Cardinia,,,,,,,"Tynong, VIC 3813, Australia",-38.0830345,145.6268414
115,Tynong North,3813,Shire of Cardinia,,,,,,,"Tynong North, VIC 3813, Australia",-38.02976655,145.637866604289
116,Vervale,3814,Shire of Cardinia,,,,,,,"Vervale, VIC 3814, Australia",-37.7129383,144.9735871
117,Yannathan,3894,Shire of Cardinia,,,,,,,"Yannathan, VIC 3894, Australia",-38.223445,145.650533920797
118,Berwick,3806,City of Casey,,,,,,,"Berwick, VIC 3806, Australia",-38.0403826,145.3481493
119,Botanic Ridge,3977,City of Casey,,,,,,,"Botanic Ridge, VIC 3977, Australia",-38.1413786,145.2566183
120,Clyde,3978,City of Casey,,,,,,,"Clyde, VIC 3978, Australia",-38.1326345,145.3290375
121,Clyde North,3978,City of Casey,,,,,,,"Clyde North, VIC 3978, Australia",-38.1028681,145.3302814
122,Cranbourne,3977,City of Casey,,,,,,,"Cranbourne, VIC 3977, Australia",-38.09983825,145.282937771062
123,Cranbourne East,3977,City of Casey,,,,,,,"Cranbourne East, VIC 3977, Australia",-38.1080912,145.3056221
124,Cranbourne North,3977,City of Casey,,,,,,,"Cranbourne North, VIC 3977, Australia",-38.0775184,145.2989039
125,Cranbourne South,3977,City of Casey,,,,,,,"Cranbourne South, VIC 3977, Australia",-38.150625,145.246764684066
126,Doveton,3177,City of Casey,,,,,,,"Doveton, VIC 3177, Australia",-37.9887542,145.2385975
127,Endeavour Hills,3802,City of Casey,,,,,,,"Endeavour Hills, VIC 3802, Australia",-37.9702665,145.2563443
128,Eumemmerring,3177,City of Casey,,,,,,,"Eumemmerring, VIC 3177, Australia",-37.9985273,145.2469497
129,Hallam,3803,City of Casey,,,,,,,"Hallam, VIC 3803, Australia",-38.0074845,145.268858
130,Hampton Park,3976,City of Casey,,,,,,,"Hampton Park, VIC 3976, Australia",-38.0367368,145.2590312
131,Junction Village,3977,City of Casey,,,,,,,"Junction Village, VIC 3977, Australia",-38.1363443,145.2968697
132,Lynbrook,3975,City of Casey,,,,,,,"Lynbrook, VIC 3975, Australia",-38.057638,145.249374360933
133,Narre Warren,3805,City of Casey,,,,,,,"Narre Warren, VIC 3805, Australia",-38.017956,145.3058481
134,Narre Warren North,3804,City of Casey,,,,,,,"Narre Warren North, VIC 3804, Australia",-37.9813391,145.3129016
135,Narre Warren South,3805,City of Casey,,,,,,,"Narre Warren South, VIC 3805, Australia",-38.05439,145.3028513
136,Blind Bight,3980,City of Casey,,,,,,,"Blind Bight, VIC 3980, Australia",-38.2142175,145.3377629
137,Cannons Creek,3977,City of Casey,,,,,,,"Cannons Creek, VIC 3977, Australia",-38.2114954,145.3112899
138,Devon Meadows,3977,City of Casey,,,,,,,"Devon Meadows, VIC 3977, Australia",-38.1620178,145.3024933
139,Harkaway,3806,City of Casey,,,,,,,"Harkaway, VIC 3806, Australia",-37.9926026,145.356141659516
140,Lyndhurst,3975,City of Casey (as a suburb); City of Greater Dandenong (as a rural locality),,,,,,,"Lyndhurst, VIC 3975, Australia",-38.0685384,145.2307493
141,Lysterfield South,3156,City of Casey,,,,,,,"Lysterfield South, VIC 3156, Australia",-37.9524844,145.2669275
142,Pearcedale,3912,City of Casey,,,,,,,"Pearcedale, VIC 3912, Australia",-38.2015815,145.242198
143,Tooradin,3980,City of Casey,,,,,,,"Tooradin, VIC 3980, Australia",-38.2138303,145.3816827
144,Warneet,3980,City of Casey,,,,,,,"Warneet, VIC 3980, Australia",-38.2213749,145.3117316
145,Alphington,3078,City of Darebin; City of Yarra,,,,,,,"Alphington, VIC 3078, Australia",-37.7803992,145.0308824
146,Fairfield,3078,City of Darebin; City of Yarra,,,,,,,"Fairfield, VIC 3078, Australia",-37.7845032,145.0158191
147,Kingsbury,3083,City of Darebin,,,,,,,"Kingsbury, VIC 3083, Australia",-37.715569,145.0355601
148,Northcote,3070,City of Darebin,,,,,,,"Northcote, VIC 3070, Australia",-37.7728157,145.0009469
149,Preston,3072,City of Darebin,,,,,,,"Preston, VIC 3072, Australia",-37.7418658,145.0078205
150,Reservoir,3073,City of Darebin,,,,,,,"Reservoir, VIC 3073, Australia",-37.7123767,145.0074935
151,Thornbury,3071,City of Darebin,,,,,,,"Thornbury, VIC 3071, Australia",-37.7582744,145.0051501
152,Carrum Downs,3201,City of Frankston,,,,,,,"Carrum Downs, VIC 3201, Australia",-38.0927904,145.1758001
153,Frankston,3199,City of Frankston,,,,,,,"Frankston, VIC 3199, Australia",-38.1444729,145.1268808
154,Frankston North,3200,City of Frankston,,,,,,,"Frankston North, VIC 3200, Australia",-38.1228524,145.1609788
155,Frankston South,3199,City of Frankston,,,,,,,"Frankston South, VIC 3199, Australia",-38.1765027,145.1295641
156,Langwarrin,3910,City of Frankston,,,,,,,"Langwarrin, VIC 3910, Australia",-38.1545829,145.1973931
157,Sandhurst,3977,City of Frankston,,,,,,,"Sandhurst, VIC 3977, Australia",-38.0819428,145.21039
158,Seaford,3198,City of Frankston,,,,,,,"Seaford, VIC 3198, Australia",-38.1048309,145.1384475
159,Skye,3977,City of Frankston,,,,,,,"Skye, VIC 3977, Australia",-38.1051265,145.2162331
160,Langwarrin South,3911,City of Frankston,,,,,,,"Langwarrin South, VIC 3911, Australia",-38.1891024,145.1910633
161,Bentleigh,3204,City of Glen Eira,,,,,,,"Bentleigh, VIC 3204, Australia",-37.9185101,145.0409246
162,Bentleigh East,3165,City of Glen Eira,,,,,,,"Bentleigh East, VIC 3165, Australia",-37.9220201,145.0665529
163,Caulfield,3162,City of Glen Eira,,,,,,,"Caulfield, VIC 3162, Australia",-37.882265,145.022462837409
164,Caulfield East,3145,City of Glen Eira,,,,,,,"Caulfield East, VIC 3145, Australia",-37.881276,145.0420847
165,Caulfield North,3161,City of Glen Eira,,,,,,,"Caulfield North, VIC 3161, Australia",-37.870828,145.0218005
166,Caulfield South,3162,City of Glen Eira,,,,,,,"Caulfield South, VIC 3162, Australia",-37.894699,145.0249323
167,Carnegie,3163,City of Glen Eira,,,,,,,"Carnegie, VIC 3163, Australia",-37.8933729,145.0559135
168,Elsternwick,3185,City of Glen Eira,,,,,,,"Elsternwick, VIC 3185, Australia",-37.8858425,145.0070152
169,Gardenvale,3185,City of Glen Eira,,,,,,,"Gardenvale, VIC 3185, Australia",-37.8981194,145.0091824
170,Glen Huntly,3163,City of Glen Eira,,,,,,,"Glen Huntly, VIC 3163, Australia",-37.8923791,145.0413689
171,McKinnon,3204,City of Glen Eira,,,,,,,"McKinnon, VIC 3204, Australia",-37.9105942,145.03863
172,Murrumbeena,3163,City of Glen Eira,,,,,,,"Murrumbeena, VIC 3163, Australia",-37.8968653,145.0703808
173,Ormond,3204,City of Glen Eira,,,,,,,"Ormond, VIC 3204, Australia",-37.9039946,145.0432907
174,St Kilda East,3183,City of Glen Eira; City of Port Phillip,,,,,,,"St Kilda East, VIC 3183, Australia",-37.8668218,145.0021657
175,Dandenong,3175,City of Greater Dandenong,,,,,,,"Dandenong, VIC 3175, Australia",-37.98749,145.2147923
176,Dandenong North,3175,City of Greater Dandenong,,,,,,,"Dandenong North, VIC 3175, Australia",-37.9558319,145.2143234
177,Dandenong South,3175,City of Greater Dandenong,,,,,,,"Dandenong South, VIC 3175, Australia",-38.0279936,145.2209236
178,Keysborough,3173,City of Greater Dandenong,,,,,,,"Keysborough, VIC 3173, Australia",-38.0053607,145.1674069
179,Noble Park,3174,City of Greater Dandenong,,,,,,,"Noble Park, VIC 3174, Australia",-37.9695376,145.176703
180,Noble Park North,3174,City of Greater Dandenong,,,,,,,"Noble Park North, VIC 3174, Australia",-37.9512702,145.1908377
181,Springvale,3171,City of Greater Dandenong,,,,,,,"Springvale, VIC 3171, Australia",-37.9456253,145.1580111
182,Springvale South,3172,City of Greater Dandenong,,,,,,,"Springvale South, VIC 3172, Australia",-37.9708611,145.1478692
183,Bangholme,3175,City of Greater Dandenong,,,,,,,"Bangholme, VIC 3175, Australia",-38.0483919,145.1720859
184,Altona,3018,City of Hobsons Bay,,,,,,,"Altona, VIC 3018, Australia",-37.8602151,144.813703
185,Altona Meadows,3028,City of Hobsons Bay,,,,,,,"Altona Meadows, VIC 3028, Australia",-37.8814419,144.7845482
186,Altona North,3025,City of Hobsons Bay,,,,,,,"Altona North, VIC 3025, Australia",-37.8378229,144.8342853
187,Laverton,3028,City of Hobsons Bay; City of Wyndham,,,,,,,"Laverton, VIC 3028, Australia",-37.8593822,144.7671404
188,Newport,3015,City of Hobsons Bay,,,,,,,"Newport, VIC 3015, Australia",-37.8435966,144.8804797
189,Spotswood,3015,City of Hobsons Bay,,,,,,,"Spotswood, VIC 3015, Australia",-37.8296363,144.887901
190,Seabrook,3028,City of Hobsons Bay,,,,,,,"Seabrook, VIC 3028, Australia",-37.8808999,144.758606
191,Seaholme,3018,City of Hobsons Bay,,,,,,,"Seaholme, VIC 3018, Australia",-37.8677992,144.8410816
192,South Kingsville,3015,City of Hobsons Bay,,,,,,,"South Kingsville, VIC 3015, Australia",-37.8306664,144.8713429
193,Williamstown,3016,City of Hobsons Bay,,,,,,,"Williamstown, VIC 3016, Australia",-37.8611788,144.8898569
194,Williamstown North,3016,City of Hobsons Bay,,,,,,,"Williamstown North, VIC 3016, Australia",-37.8526453,144.8688784
195,Attwood,3049,City of Hume,,,,,,,"Attwood, VIC 3049, Australia",-37.6670148,144.884862
196,Broadmeadows,3047,City of Hume,,,,,,,"Broadmeadows, VIC 3047, Australia",-37.68293875,144.919575351733
197,Campbellfield,3061,City of Hume,,,,,,,"Campbellfield, VIC 3061, Australia",-37.6641298,144.959583
198,Coolaroo,3048,City of Hume,,,,,,,"Coolaroo, VIC 3048, Australia",-37.6567594,144.9345853
199,Craigieburn,3064,City of Hume,,,,,,,"Craigieburn, VIC 3064, Australia",-37.5901421,144.9108265
200,Dallas,3047,City of Hume,,,,,,,"Dallas, VIC 3047, Australia",-37.6708194,144.9354163
201,Gladstone Park,3043,City of Hume,,,,,,,"Gladstone Park, VIC 3043, Australia",-37.6898311,144.8944658
202,Greenvale,3059,City of Hume,,,,,,,"Greenvale, VIC 3059, Australia",-37.6347658,144.8814617
203,Jacana,3047,City of Hume,,,,,,,"Jacana, VIC 3047, Australia",-37.6951482,144.9158281
204,Meadow Heights,3048,City of Hume,,,,,,,"Meadow Heights, VIC 3048, Australia",-37.6511668,144.9185521
205,Melbourne Airport,3045,City of Hume,,,,,,,"Melbourne Airport, VIC 3045, Australia",-37.67153775,144.851680260791
206,Roxburgh Park,3064,City of Hume,,,,,,,"Roxburgh Park, VIC 3064, Australia",-37.6258153,144.9255725
207,Somerton,3062,City of Hume,,,,,,,"Somerton, VIC 3062, Australia",-37.634688,144.9507961
208,Westmeadows,3049,City of Hume,,,,,,,"Westmeadows, VIC 3049, Australia",-37.6768765,144.8939017
209,Sunbury,3429,City of Hume,,,,,,,"Sunbury, VIC 3429, Australia",-37.5796938,144.7295281
210,Bulla,3428,City of Hume,,,,,,,"Bulla, VIC 3428, Australia",-37.6347957,144.8027227
211,Clarkefield,3430,City of Hume; Shire of Macedon Ranges,,,,,,,"Clarkefield, VIC 3430, Australia",-37.483466,144.7480489
212,Diggers Rest,3427,City of Hume; Shire of Melton,,,,,,,"Diggers Rest, VIC 3427, Australia",-37.6280256,144.720969
213,Kalkallo,3064,City of Hume,,,,,,,"Kalkallo, VIC 3064, Australia",-37.5309523,144.9496539
214,Mickleham,3064,City of Hume,,,,,,,"Mickleham, VIC 3064, Australia",-37.5616549,144.8773339
